,0
444,2773.5713695447466
445,2800.70707967043
446,2789.294104085766
447,2739.0111301601223
448,2639.1084108227496
449,2609.4208406901275
450,2603.3529375075395
451,2688.4068436038474
452,2626.3594124143833
453,2621.878695516388
454,2612.464971269339
455,2593.4670553872347
456,2560.3134785496877
457,2568.8128108219316
458,2589.7398288719105
459,2547.7050237576204
460,2597.2847890481344
461,2643.5290349005127
462,2683.9663521038847
463,2645.0860521365803
464,2610.355345363949
465,2639.1084108227496
466,2656.0972642945467
467,2700.7641349350242
468,2701.1658983617217
469,2713.583527789948
470,2693.6611635835316
471,2641.6099890821465
472,2637.822424469772
473,2613.2586870500436
474,2587.4994704229125
475,2583.2196352382653
476,2618.1715817000795
477,2667.1283438747123
478,2684.709786137048
479,2693.2191747588004
480,2705.475902594894
481,2683.7151886429942
482,2653.9974494618473
483,2644.081398293018
484,2601.936218610954
485,2560.8660872190103
486,2503.670967305715
487,2496.4576213864484
488,2433.0439983247575
489,2441.3525052331606
490,2461.1843622940028
491,2460.189764799949
492,2438.258092906408
493,2379.5059557570457
494,2394.7565324248085
495,2354.3896096679946
496,2209.3576728895787
497,2214.9536634757287
498,2317.5188626646313
499,2391.8029089911724
500,2313.4901909408745
501,2349.2356079065767
502,2335.100304926967
503,2305.7141800027775
504,2381.535376143186
505,2402.4722052658562
506,2333.5430424140823
507,2315.8308676081388
508,2247.9566403474682
509,2278.980233303792
510,2299.324473635923
511,2321.9895232131184
512,2335.9641698774126
513,2365.0991313407117
514,2309.2002994067193
515,2337.7323704531545
516,2281.3110988983644
517,2332.8096647304274
518,2295.1653146453755
519,2291.9502261245234
520,2303.0114747532143
521,2317.820062596246
522,2331.282571266068
523,2297.6266675067395
524,2259.6507031647307
525,2232.4747676410143
526,2254.8584847087945
527,2254.034599879565
528,2192.55989005844
529,2199.2507963569087
530,2197.753871941074
531,2248.308122026625
532,2207.4288159985217
533,2259.600421417189
534,2154.8451455268305
535,2203.7418148812303
536,2260.514813391994
537,2208.654464254449
538,2256.576403536995
539,2317.820062596246
540,2317.277755553249
541,2303.6344778690955
542,2279.804118133022
543,2253.512160258767
544,2295.064751150293
545,2352.239513087754
546,2336.657322163034
547,2355.745745190713
548,2375.5476784798475
549,2342.3538762442668
